"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","lo_ci","up_ci","or","or_lci95","or_uci95","n_snps"
"eqtl-a-ENSG00000148926","ebi-a-GCST90018894","ebi-a-GCST90018894","eqtl-a-ENSG00000148926","Inverse variance weighted (fixed effects)",102,0.00077500933456178,0.0112312740817146,0.944985975034983,-0.0212382878655989,0.0227883065347224,1.00077530973189,0.978985656370799,1.02304994363434,111
"eqtl-a-ENSG00000148926","ebi-a-GCST90018894","ebi-a-GCST90018894","eqtl-a-ENSG00000148926","MR Egger",102,-0.0510513221956409,0.0190714729040297,0.00868691959992481,-0.0884314090875392,-0.0136712353037427,0.950229901396065,0.91536589436471,0.986421791620103,111
"eqtl-a-ENSG00000148926","ebi-a-GCST90018894","ebi-a-GCST90018894","eqtl-a-ENSG00000148926","Weighted median",102,-0.0287366070840547,0.0152612827227908,0.0597038159921734,-0.0586487212207246,0.00117550705261518,0.971672362381147,0.943037980210485,1.00117619823183,111
"eqtl-a-ENSG00000148926","ebi-a-GCST90018894","ebi-a-GCST90018894","eqtl-a-ENSG00000148926","Weighted mode",102,-0.0250711994425472,0.0393036819035165,0.524992605062247,-0.10210641597344,0.0519640170883452,0.975240472978326,0.902933460013025,1.05333783966901,111
"eqtl-a-ENSG00000148926","ebi-a-GCST90018894","ebi-a-GCST90018894","eqtl-a-ENSG00000148926","Simple mode",102,-0.0169597576897258,0.0200559768430065,0.399763036078221,-0.0562694723020186,0.022349956922567,0.983183249404194,0.94528437361003,1.02260158836369,111
