"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","lo_ci","up_ci","or","or_lci95","or_uci95","n_snps"
"eqtl-a-ENSG00000100985","ebi-a-GCST90018894","ebi-a-GCST90018894","eqtl-a-ENSG00000100985","Inverse variance weighted (fixed effects)",66,-0.00792907649179828,0.0348875587625455,0.82020976507222,-0.0763086916663875,0.0604505386827909,0.9921022757158,0.926530150274012,1.06231505276907,70
"eqtl-a-ENSG00000100985","ebi-a-GCST90018894","ebi-a-GCST90018894","eqtl-a-ENSG00000100985","MR Egger",66,-0.0447066019333761,0.0608655053783329,0.465317943990956,-0.164002992474909,0.0745897886081565,0.956278010797283,0.848739482044803,1.07744208120406,70
"eqtl-a-ENSG00000100985","ebi-a-GCST90018894","ebi-a-GCST90018894","eqtl-a-ENSG00000100985","Weighted median",66,-0.0053593838454545,0.0498616204003227,0.914404104102349,-0.103088159830087,0.0923693921391779,0.994654952030226,0.90204744562645,1.09676988543677,70
"eqtl-a-ENSG00000100985","ebi-a-GCST90018894","ebi-a-GCST90018894","eqtl-a-ENSG00000100985","Weighted mode",66,-0.00321844438911456,0.150043970222307,0.982952393526379,-0.297304626024837,0.290867737246608,0.996786729251182,0.742817696290808,1.33758765922331,70
"eqtl-a-ENSG00000100985","ebi-a-GCST90018894","ebi-a-GCST90018894","eqtl-a-ENSG00000100985","Simple mode",66,-0.0190769928403807,0.0956741219861608,0.842575803466879,-0.206598271933256,0.168444286252494,0.981103821364875,0.813346328413338,1.18346228988888,70
