"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","lo_ci","up_ci","or","or_lci95","or_uci95","n_snps"
"eqtl-a-ENSG00000156110","ebi-a-GCST90091033","ebi-a-GCST90091033","eqtl-a-ENSG00000156110","Inverse variance weighted (fixed effects)",4,0.0154005890991449,0.0161215536028265,0.339436389312672,-0.016197655962395,0.0469988341606847,1.0155197893031,0.983932820645338,1.04812078713852,4
"eqtl-a-ENSG00000156110","ebi-a-GCST90091033","ebi-a-GCST90091033","eqtl-a-ENSG00000156110","MR Egger",4,0.0340206713903661,0.02413244135123,0.294012148566021,-0.0132789136580448,0.0813202564387769,1.03460599325143,0.986808862163855,1.08471822894315,4
"eqtl-a-ENSG00000156110","ebi-a-GCST90091033","ebi-a-GCST90091033","eqtl-a-ENSG00000156110","Weighted median",4,0.0176080959555673,0.0159589972526767,0.269882373004014,-0.013671538659679,0.0488877305708136,1.01776403238045,0.986421492383242,1.05010244971919,4
"eqtl-a-ENSG00000156110","ebi-a-GCST90091033","ebi-a-GCST90091033","eqtl-a-ENSG00000156110","Weighted mode",4,0.0187899472310596,0.0973337629386677,0.8592527227766,-0.171984228128729,0.209564122590848,1.01896758917274,0.841992452860354,1.23314044473592,4
"eqtl-a-ENSG00000156110","ebi-a-GCST90091033","ebi-a-GCST90091033","eqtl-a-ENSG00000156110","Simple mode",4,0.0177581185039493,0.0773519436713108,0.833183627904532,-0.13385169109182,0.169367928099718,1.0179167313881,0.874719783719933,1.18455589015417,4
