"Exposure","Outcome","Method","Heterogeneity_Q","Q_df","Q_P_value","Egger_intercept_pval","MR_PRESSO_global_p"
"ENSG00000233276","Nonalcoholic fatty liver disease","Inverse variance weighted",45.6856428317933,57,0.858958714407404,"0.56047",0.889
"ENSG00000233276","Nonalcoholic fatty liver disease","MR Egger",45.3426677275194,56,0.844944511147667,"0.56047",0.889
"ENSG00000121769","Nonalcoholic fatty liver disease","Inverse variance weighted",6.98820094683564,17,0.983701179120138,"0.0535889",0.98
"ENSG00000121769","Nonalcoholic fatty liver disease","MR Egger",2.64672692138983,16,0.999927381886818,"0.0535889",0.98
"ENSG00000099194","Nonalcoholic fatty liver disease","Inverse variance weighted",49.7344224174957,51,0.523983793384353,"0.00200752",0.569
"ENSG00000099194","Nonalcoholic fatty liver disease","MR Egger",39.1060731826808,50,0.867010706398006,"0.00200752",0.569
"ENSG00000066322","Nonalcoholic fatty liver disease","Inverse variance weighted",10.3277105302242,35,0.999984231233923,"0.0521872",1
"ENSG00000066322","Nonalcoholic fatty liver disease","MR Egger",6.27918535837998,34,0.999999958834181,"0.0521872",1
"ENSG00000105974","Nonalcoholic fatty liver disease","Inverse variance weighted",8.79356392451084,33,0.999992187534214,"0.866859",1
"ENSG00000105974","Nonalcoholic fatty liver disease","MR Egger",8.7650023953338,32,0.999985194307586,"0.866859",1
"ENSG00000170522","Nonalcoholic fatty liver disease","Inverse variance weighted",25.3788564696561,24,0.385413192067264,"0.469522",0.409
"ENSG00000170522","Nonalcoholic fatty liver disease","MR Egger",24.7957980708401,23,0.360899338612453,"0.469522",0.409
"ENSG00000069667","Nonalcoholic fatty liver disease","Inverse variance weighted",15.8058951977201,20,0.728590822232407,"0.455794",0.777
"ENSG00000069667","Nonalcoholic fatty liver disease","MR Egger",15.2262390584575,19,0.708113726070727,"0.455794",0.777
"ENSG00000131408","Nonalcoholic fatty liver disease","Inverse variance weighted",0.575753013591318,3,0.901960029749603,"0.705578",0.91
"ENSG00000131408","Nonalcoholic fatty liver disease","MR Egger",0.385929629517119,2,0.824510984246792,"0.705578",0.91
"ENSG00000172531","Nonalcoholic fatty liver disease","Inverse variance weighted",3.61580812276453,15,0.99874882519375,"0.524406",0.998
"ENSG00000172531","Nonalcoholic fatty liver disease","MR Egger",3.18954654884086,14,0.998688651891626,"0.524406",0.998
"ENSG00000108846","Nonalcoholic fatty liver disease","Inverse variance weighted",154.02109369022,108,0.00242944664007556,"0.00329554",0.002
"ENSG00000108846","Nonalcoholic fatty liver disease","MR Egger",142.024883258803,107,0.0132691172411864,"0.00329554",0.002
"ENSG00000119927","Nonalcoholic fatty liver disease","Inverse variance weighted",0.554181055118473,5,0.990004866868091,"0.974881",0.992
"ENSG00000119927","Nonalcoholic fatty liver disease","MR Egger",0.553058843374051,4,0.968134344653432,"0.974881",0.992
"ENSG00000160752","Nonalcoholic fatty liver disease","Inverse variance weighted",45.6616548453979,59,0.898364388538002,"0.000300443",0.907
"ENSG00000160752","Nonalcoholic fatty liver disease","MR Egger",30.8657131961889,58,0.998692050576119,"0.000300443",0.907
"ENSG00000103056","Nonalcoholic fatty liver disease","Inverse variance weighted",46.5709276724844,67,0.972927188470107,"0.468101",0.951
"ENSG00000103056","Nonalcoholic fatty liver disease","MR Egger",46.038334294886,66,0.970774424081738,"0.468101",0.951
"ENSG00000116133","Nonalcoholic fatty liver disease","Inverse variance weighted",22.9132444340625,39,0.981193316851473,"0.00185471",0.954
"ENSG00000116133","Nonalcoholic fatty liver disease","MR Egger",11.7160325074675,38,0.999987255427029,"0.00185471",0.954
"ENSG00000113161","Nonalcoholic fatty liver disease","Inverse variance weighted",38.4066829207209,71,0.999448842478923,"0.0141983",0.998
"ENSG00000113161","Nonalcoholic fatty liver disease","MR Egger",32.0808743357405,70,0.999971723217281,"0.0141983",0.998
"ENSG00000186480","Nonalcoholic fatty liver disease","Inverse variance weighted",52.0567893277179,41,0.115455520758287,"0.561033",0.195
"ENSG00000186480","Nonalcoholic fatty liver disease","MR Egger",51.6133866993453,40,0.103207339345992,"0.561033",0.195
"ENSG00000125629","Nonalcoholic fatty liver disease","Inverse variance weighted",151.282618666672,82,5.04368858395765e-06,"0.426434",0.001
"ENSG00000125629","Nonalcoholic fatty liver disease","MR Egger",150.09862622238,81,4.85139013246549e-06,"0.426434",0.001
"ENSG00000176170","Nonalcoholic fatty liver disease","Inverse variance weighted",58.0671204979937,50,0.202456134419586,"0.178999",0.23
"ENSG00000176170","Nonalcoholic fatty liver disease","MR Egger",55.9449052182444,49,0.230396055302634,"0.178999",0.23
"ENSG00000213639","Nonalcoholic fatty liver disease","Inverse variance weighted",57.3455261126217,64,0.708978081217585,"0.191082",0.761
"ENSG00000213639","Nonalcoholic fatty liver disease","MR Egger",55.5989081018918,63,0.734687226443818,"0.191082",0.761
