"Exposure","Outcome","Method","n_SNPs","gene_symbol","ensembl_id","exposure_id","outcome_id","ivw_beta","ivw_se","ivw_pval","ivw_or","ivw_or_lci","ivw_or_uci","ivw_or_95ci","egger_beta","egger_se","egger_pval","egger_or","wm_beta","wm_se","wm_pval","wm_or","wmode_beta","wmode_se","wmode_pval","wmode_or","smode_beta","smode_se","smode_pval","smode_or","heterogeneity_q","heterogeneity_pval","egger_intercept","egger_intercept_pval","steiger_correct_direction","steiger_pval","ivw_significant","ivw_direction","directionality_significant","pleiotropy_pass","presso_global_p"
"A1BG","Nonalcoholic fatty liver disease","Inverse variance weighted",11,"A1BG","A1BG","pqtl-A1BG","ebi-a-GCST90091033",0.0509,0.0576,"0.377",1.052,0.94,1.178,"0.94-1.178",-0.0946,0.1148,"0.431",0.91,0.0743,0.0741,"0.316",1.077,0.0772,0.336,"0.823",1.08,0.074,0.1262,"0.571",1.077,11.775,"0.3",0.022556,"0.173468","TRUE","5.31e-21","NO","Risk","YES","YES",0.356
"A1BG","Nonalcoholic fatty liver disease","MR Egger",11,"A1BG","A1BG","pqtl-A1BG","ebi-a-GCST90091033",0.0509,0.0576,"0.377",1.052,0.94,1.178,"0.94-1.178",-0.0946,0.1148,"0.431",0.91,0.0743,0.0741,"0.316",1.077,0.0772,0.336,"0.823",1.08,0.074,0.1262,"0.571",1.077,11.775,"0.3",0.022556,"0.173468","TRUE","5.31e-21","NO","Risk","YES","YES",0.356
"A1BG","Nonalcoholic fatty liver disease","Weighted median",11,"A1BG","A1BG","pqtl-A1BG","ebi-a-GCST90091033",0.0509,0.0576,"0.377",1.052,0.94,1.178,"0.94-1.178",-0.0946,0.1148,"0.431",0.91,0.0743,0.0741,"0.316",1.077,0.0772,0.336,"0.823",1.08,0.074,0.1262,"0.571",1.077,11.775,"0.3",0.022556,"0.173468","TRUE","5.31e-21","NO","Risk","YES","YES",0.356
"A1BG","Nonalcoholic fatty liver disease","Weighted mode",11,"A1BG","A1BG","pqtl-A1BG","ebi-a-GCST90091033",0.0509,0.0576,"0.377",1.052,0.94,1.178,"0.94-1.178",-0.0946,0.1148,"0.431",0.91,0.0743,0.0741,"0.316",1.077,0.0772,0.336,"0.823",1.08,0.074,0.1262,"0.571",1.077,11.775,"0.3",0.022556,"0.173468","TRUE","5.31e-21","NO","Risk","YES","YES",0.356
"A1BG","Nonalcoholic fatty liver disease","Simple mode",11,"A1BG","A1BG","pqtl-A1BG","ebi-a-GCST90091033",0.0509,0.0576,"0.377",1.052,0.94,1.178,"0.94-1.178",-0.0946,0.1148,"0.431",0.91,0.0743,0.0741,"0.316",1.077,0.0772,0.336,"0.823",1.08,0.074,0.1262,"0.571",1.077,11.775,"0.3",0.022556,"0.173468","TRUE","5.31e-21","NO","Risk","YES","YES",0.356
