"gene_symbol","ensembl_id","exposure_id","outcome_id","n_snps","method","ivw_beta","ivw_se","ivw_pval","ivw_or","ivw_or_lci","ivw_or_uci","ivw_or_95ci","egger_beta","egger_se","egger_pval","egger_or","wm_beta","wm_se","wm_pval","wm_or","wmode_beta","wmode_se","wmode_pval","wmode_or","smode_beta","smode_se","smode_pval","smode_or","heterogeneity_q","heterogeneity_pval","egger_intercept","egger_intercept_pval","steiger_correct_direction","steiger_pval","ivw_significant","ivw_direction","directionality_significant","pleiotropy_pass"
"ADK","ENSG00000156110","eqtl-a-ENSG00000156110","ebi-a-GCST90091033",4,"IVW",0.0154,0.0161,"0.3394",1.016,0.984,1.048,"0.984-1.048",0.034,0.0241,"0.294",1.035,0.0176,0.0158,"0.2656",1.018,0.0188,0.0959,"0.8572",1.019,0.0178,0.0785,"0.8356",1.018,1.319,"0.725",-0.019922,"0.408707","TRUE","<1e-99","NO","Risk","NO","YES"
"AKR1C3","ENSG00000196139","eqtl-a-ENSG00000196139","ebi-a-GCST90091033",8,"IVW",-0.0209,0.0359,"0.56",0.979,0.913,1.051,"0.913-1.051",-0.0662,0.0531,"0.2588",0.936,-0.0367,0.0393,"0.3504",0.964,-0.0436,0.1872,"0.8224",0.957,-0.0365,0.1439,"0.8069",0.964,3.065,"0.879",0.011302,"0.290796","TRUE","1.15e-96","NO","Protective","YES","YES"
"AKR1B1","ENSG00000085662","eqtl-a-ENSG00000085662","ebi-a-GCST90091033",5,"IVW",0.0134,0.0368,"0.7151",1.014,0.943,1.089,"0.943-1.089",0.0106,0.1126,"0.9309",1.011,0.0031,0.0375,"0.9336",1.003,0.006,0.2037,"0.978",1.006,-0.0376,0.1826,"0.8468",0.963,7.286,"0.122",0.000927,"0.978526","TRUE","2.79e-69","NO","Risk","YES","YES"
"COMT","ENSG00000093010","eqtl-a-ENSG00000093010","ebi-a-GCST90091033",4,"IVW",-2e-04,0.0982,"0.9982",1,0.825,1.212,"0.825-1.212",0.0634,0.3956,"0.8989",1.065,-0.012,0.0404,"0.767",0.988,-0.0216,0.4229,"0.9639",0.979,-0.123,0.0868,"0.2923",0.884,12.734,"0.00172",-0.02334,"0.89199","TRUE","3.8e-65","NO","Protective","YES","YES"
