"gene_symbol","ensembl_id","exposure_id","outcome_id","n_snps","method","ivw_beta","ivw_se","ivw_pval","ivw_or","ivw_or_lci","ivw_or_uci","ivw_or_95ci","egger_beta","egger_se","egger_pval","egger_or","wm_beta","wm_se","wm_pval","wm_or","wmode_beta","wmode_se","wmode_pval","wmode_or","smode_beta","smode_se","smode_pval","smode_or","heterogeneity_q","heterogeneity_pval","egger_intercept","egger_intercept_pval","steiger_correct_direction","steiger_pval","ivw_significant","ivw_direction","directionality_significant","pleiotropy_pass","presso_global_p","presso_n_outliers","presso_outlier_snps","presso_outlier_corrected_beta","presso_outlier_corrected_se","presso_outlier_corrected_p","outcome"
"PTGS2","ENSG00000073756","eqtl-a-ENSG00000073756","ebi-a-GCST90091033",59,"IVW",0.0697,0.0131,"9.311e-08",1.072,1.045,1.1,"1.045-1.1",0.0905,0.0202,"3.76e-05",1.095,0.0893,0.0184,"1.149e-06",1.093,0.0897,0.0436,"0.04435",1.094,0.0999,0.0265,"0.0003965",1.105,62.212,"0.296",-0.006882,"0.17113","TRUE","<1e-99","YES","Risk","YES","YES",0.324,0,NA,NA,NA,NA,"Nonalcoholic fatty liver disease"
"FADS2","ENSG00000134824","eqtl-a-ENSG00000134824","ebi-a-GCST90091033",82,"IVW",0.0262,0.0061,"1.863e-05",1.027,1.014,1.039,"1.014-1.039",0.0016,0.0091,"0.8574",1.002,0.0187,0.0083,"0.02328",1.019,0.0174,0.0422,"0.6818",1.018,0.0174,0.0157,"0.2703",1.018,63.407,"0.926",0.014243,"0.00053491","TRUE","<1e-99","YES","Risk","YES","NO",0.944,0,NA,NA,NA,NA,"Nonalcoholic fatty liver disease"
"ELOVL1","ENSG00000066322","eqtl-a-ENSG00000066322","ebi-a-GCST90091033",37,"IVW",-0.0357,0.0339,"0.2925",0.965,0.903,1.031,"0.903-1.031",-0.2867,0.1293,"0.03335",0.751,-0.0672,0.0446,"0.1317",0.935,-0.0753,0.0983,"0.4491",0.928,0.0185,0.0866,"0.832",1.019,10.328,"1",0.021826,"0.0521872","TRUE","2.31e-97","NO","Protective","YES","YES",1,0,NA,NA,NA,NA,"Nonalcoholic fatty liver disease"
