"id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","lo_ci","up_ci","or","or_lci95","or_uci95","n_snps"
"eqtl-a-ENSG00000126821","ebi-a-GCST90091033","ebi-a-GCST90091033","eqtl-a-ENSG00000126821","Inverse variance weighted (fixed effects)",16,0.103074868879677,0.0560466746605891,0.0659019759076208,-0.00677661345507732,0.212926351214432,1.10857440369275,0.993246296011139,1.23729352272255,16
"eqtl-a-ENSG00000126821","ebi-a-GCST90091033","ebi-a-GCST90091033","eqtl-a-ENSG00000126821","MR Egger",16,0.643268483383827,0.811517137352101,0.441194354252159,-0.94730510582629,2.23384207259394,1.90268963662944,0.387784655192278,9.33566556815417,16
"eqtl-a-ENSG00000126821","ebi-a-GCST90091033","ebi-a-GCST90091033","eqtl-a-ENSG00000126821","Weighted median",16,0.0809937795494799,0.0676730944512575,0.23136942419261,-0.0516454855749848,0.213633044673945,1.08436415131223,0.949665477283372,1.23816821899722,16
"eqtl-a-ENSG00000126821","ebi-a-GCST90091033","ebi-a-GCST90091033","eqtl-a-ENSG00000126821","Weighted mode",16,0.0671612892179308,0.120871320808789,0.586647589887174,-0.169746499567296,0.304069078003158,1.0694679579152,0.843878713102731,1.3553626786034,16
"eqtl-a-ENSG00000126821","ebi-a-GCST90091033","ebi-a-GCST90091033","eqtl-a-ENSG00000126821","Simple mode",16,0.0671612892179308,0.120189221674163,0.584547193381401,-0.168409585263429,0.302732163699291,1.0694679579152,0.845007661110225,1.35355188555872,16
